96	333
435	621
646	1111
1294	1429
2359	2470
2915	4580
4661	5744
5753	6161
6500	7160
7301	8738
9004	9085
9246	9567
9830	10001
11164	11635
11770	12187
12346	12523
15744	15771
16230	16359
16425	16962
17163	18360
21167	22253
22745	23624
23623	24427
24441	25296
27375	27483
27494	28787
28795	29935
31371	32013
32777	34028
34245	35334
35403	35844
35958	36045
36126	37371
37491	38106
38699	39155
39352	40240
40547	40889
44423	44450
46964	48185
48194	48218
48251	48515
50832	53076
54125	55040
58247	58301
58602	58920
59765	60905
62590	63421
64003	65242
65718	66201
66473	67352
70386	71463
71591	71627
71879	71969
72004	73672
73737	74202
74272	74716
75396	76362
76371	78564
82073	83504
83607	83721
83750	86216
86361	86406
86476	88015
88025	89450
90081	90432
93209	93794
93876	93948
94078	96010
101600	101810
101927	102257
102258	102708
102710	103199
103219	103243
103347	104682
104694	105651
105653	105983
106008	106713
106716	106872
112053	112962
113210	113840
113852	115274
115636	115654
116161	116215
118322	118649
118734	119007
119025	119256
119339	120707
120715	121012
123272	123374
125264	125960
126056	126824
127683	128631
128721	129741
129977	130016
130182	130731
130746	131244
131284	131341
131527	133084
133096	133678
133726	134113
134165	135167
135204	136638
136614	136650
136864	136972
137003	139868
140095	140320
141177	141483
141486	141921
142048	142135
142155	143550
143677	144286
146690	147356
147365	147821
147833	148934
151402	151618
153332	153377
153789	154071
154869	155226
155448	156303
156319	156427
156615	157074
157183	157723
157836	157860
157900	158269
158270	158318
159121	159196
162750	162825
162873	163062
163266	163872
165875	165950
166025	166196
166897	167101
167110	167257
167534	167579
167701	167947
168002	168974
169311	169563
169339	169399
169707	169827
171081	171144
171417	171483
171574	172348
172469	173399
173595	174432
175208	176132
176735	177182
179247	179277
179340	180294
180352	180829
180983	181202
185336	187214
188078	188120
188520	188913
188929	189358
189743	189803
189821	190700
190789	191518
191620	191944
191947	192604
192741	193956
193959	194691
194757	195081
195707	196349
197297	197459
197595	198459
198553	198727
198735	199281
199407	199500
199934	200060
200086	200116
200149	201514
202193	202262
202333	202828
202886	203171
203220	204222
204259	205087
205198	207106
207953	208253
208291	208768
208931	209348
209424	210372
210593	210623
210686	210956
212184	212718
212888	214487
214790	215237
218271	220863
220976	221330
221395	221593
221803	221941
222000	222213
223378	223816
225618	225636
229283	230036
231271	231814
231977	232007
233263	234034
234281	234767
234819	235110
235111	237499
237532	237697
238669	239410
241644	242682
242698	243133
243835	245239
245314	246004
246031	247813
248068	249454
249546	249660
249665	250241
250259	250682
250693	250753
252847	253633
253759	254599
254631	255756
256764	256950
256969	257152
257316	258993
259019	259052
260351	260891
261073	261130
269595	269661
269884	269902
269904	269937
270130	270208
270649	270670
270843	270882
271258	271318
271535	272210
272323	272971
273032	274145
274295	276344
276518	276710
276766	277315
277367	278099
278150	278681
279824	280466
280733	281117
281395	281635
281771	283310
283365	283536
283729	283771
284062	285013
285036	286704
287703	287835
287859	287916
287938	288673
288960	289656
291468	292572
298355	298631
298757	300428
300926	301232
301285	301354
301362	301467
301529	301592
301987	302176
302178	302715
303674	303725
304002	305799
305829	307755
307849	307903
307990	310261
310458	311079
310469	310514
310792	310825
311141	311168
311169	311868
313097	313898
313995	314658
314678	315932
316010	317159
317385	319293
319545	320988
321132	321591
321645	321741
321889	324550
324585	324600
324612	326274
326387	327812
327969	328512
328523	330590
330618	330651
330712	331339
331442	332687
333343	333445
